País;Continente;Etario;Suicidios
Armenia;Asia;15-24 years;5
Armenia;Asia;25-34 years;12
Armenia;Asia;35-54 years;19
Armenia;Asia;5-14 years;0
Armenia;Asia;55-74 years;21
Armenia;Asia;75+ years;17
Austria;Europa;15-24 years;80
Austria;Europa;25-34 years;99
Austria;Europa;35-54 years;392
Austria;Europa;5-14 years;2
Austria;Europa;55-74 years;394
Austria;Europa;75+ years;284
Belgium;Europa;15-24 years;114
Belgium;Europa;25-34 years;206
Belgium;Europa;35-54 years;750
Belgium;Europa;5-14 years;4
Belgium;Europa;55-74 years;529
Belgium;Europa;75+ years;264
Brazil;Latinoamérica;15-24 years;1786
Brazil;Latinoamérica;25-34 years;2363
Brazil;Latinoamérica;35-54 years;4148
Brazil;Latinoamérica;5-14 years;135
Brazil;Latinoamérica;55-74 years;2172
Brazil;Latinoamérica;75+ years;559
Chile;Latinoamérica;15-24 years;288
Chile;Latinoamérica;25-34 years;362
Chile;Latinoamérica;35-54 years;649
Chile;Latinoamérica;5-14 years;22
Chile;Latinoamérica;55-74 years;379
Chile;Latinoamérica;75+ years;138
Dominica;Norte América;15-24 years;0
Dominica;Norte América;25-34 years;1
Dominica;Norte América;35-54 years;3
Dominica;Norte América;5-14 years;0
Dominica;Norte América;55-74 years;1
Dominica;Norte América;75+ years;0
Grenada;Norte América;15-24 years;0
Grenada;Norte América;25-34 years;0
Grenada;Norte América;35-54 years;0
Grenada;Norte América;5-14 years;0
Grenada;Norte América;55-74 years;0
Grenada;Norte América;75+ years;0
Hong Kong SAR;Asia;15-24 years;62
Hong Kong SAR;Asia;25-34 years;127
Hong Kong SAR;Asia;35-54 years;335
Hong Kong SAR;Asia;5-14 years;4
Hong Kong SAR;Asia;55-74 years;297
Hong Kong SAR;Asia;75+ years;165
Argentina;Latinoamérica;15-24 years;809
Argentina;Latinoamérica;25-34 years;579
Argentina;Latinoamérica;35-54 years;799
Argentina;Latinoamérica;5-14 years;58
Argentina;Latinoamérica;55-74 years;556
Argentina;Latinoamérica;75+ years;272
Mexico;Norte América;15-24 years;1831
Mexico;Norte América;25-34 years;1462
Mexico;Norte América;35-54 years;1863
Mexico;Norte América;5-14 years;232
Mexico;Norte América;55-74 years;672
Mexico;Norte América;75+ years;174
Norway;Europa;15-24 years;60
Norway;Europa;25-34 years;95
Norway;Europa;35-54 years;201
Norway;Europa;5-14 years;4
Norway;Europa;55-74 years;181
Norway;Europa;75+ years;49
Peru;Latinoamérica;15-24 years;80
Peru;Latinoamérica;25-34 years;63
Peru;Latinoamérica;35-54 years;68
Peru;Latinoamérica;5-14 years;14
Peru;Latinoamérica;55-74 years;31
Peru;Latinoamérica;75+ years;8
Poland;Europa;15-24 years;501
Poland;Europa;25-34 years;839
Poland;Europa;35-54 years;1921
Poland;Europa;5-14 years;19
Poland;Europa;55-74 years;1775
Poland;Europa;75+ years;365
Qatar;Asia;15-24 years;15
Qatar;Asia;25-34 years;22
Qatar;Asia;35-54 years;28
Qatar;Asia;5-14 years;0
Qatar;Asia;55-74 years;1
Qatar;Asia;75+ years;0
Turkmenistan;Asia;15-24 years;52
Turkmenistan;Asia;25-34 years;26
Turkmenistan;Asia;35-54 years;43
Turkmenistan;Asia;5-14 years;1
Turkmenistan;Asia;55-74 years;10
Turkmenistan;Asia;75+ years;1
United States of America;Norte América;15-24 years;5491
United States of America;Norte América;25-34 years;6947
United States of America;Norte América;35-54 years;15687
United States of America;Norte América;5-14 years;413
United States of America;Norte América;55-74 years;11940
United States of America;Norte América;75+ years;3711
