Identificador;Comuna;Link;Tipo;Habitaciones;Banos;Estacionamientos;Metros cuadrados;Direccion
C13248347;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/3000455;Casa;5;6;3;440;Calera de Tango, Queilen
C13248348;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/queilen/2246315;Casa;6;6;6;430;Calera de Tango, Queilen
C13248349;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/avenida-calera-de-tango-condominiosanta-teresa-de-tango-el-barrancon/3429380;Casa;3;3;No;140;Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon
C13248350;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/paradero-14-125-kilometros-cruce-calera-de-tango/3384071;Casa;8;6;No;480;Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango
C13248351;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-el-trebol-de-calera-de-tango/3639010;Casa;3;2;3;196;Calera de Tango, Condominio El Tr<e9>bol de Calera de Tango
C13248352;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquen-surcalera-de-tango/3557811;Casa;3;2;No;170;Calera de Tango, Lonquen Sur/Calera de Tango
C13248353;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier-de-ibanez-n-29-camino-lonquen-a-7-km-de-mall-plaza-oeste/3716413;Casa;3;2;4;140;Calera de Tango, Graciela Letelier de Iba<f1>ez N 29, camino lonquen. A 7 km de mall plaza oeste
C13248354;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/camino-loretocondominio-santa-cruz-de-loreto/2898688;Casa;5;4;No;650;Calera de Tango, Camino loreto/condominio santa cruz de loreto
C13248355;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/lonquencalera-de-tango/2897936;Casa;5;3;No;404;Calera de Tango, Lonquen/Calera de tango
C13248356;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-los-almendros-suravda-calera-de-tango-cv/2832877;Casa;6;4;No;440;Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV
C13248357;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/condominio-la-virgenfrente-a-restaurante-kugenhouse/3372229;Casa;7;5;No;300;Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse
C13248358;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/graciela-letelier/3604262;Casa;6;5;2;250;Calera de Tango, Graciela Letelier
C13248359;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/calera-de-tango/3641076;Casa;3;1;2;50;Calera de Tango, Calera de Tango
C13248360;Calera de Tango;https://chilepropiedades.cl/ver-publicacion/venta-usada/calera-de-tango/casa/parcela-de-5000-m2-con-casa-en-ex-colonia-el-trebol-calera-de-tango/3575165;Casa;3;2;No;443;Calera de Tango, Parcela de 5.000 m2 con casa en ex Colonia El Tr<e9>bol. Calera de Tango
C13248361;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/don-orione/2653154;Casa;3;2;2;80;Cerrillos, Don orione
C13248362;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/fernandez-albano/2398392;Casa;4;3;2;142;Cerrillos, Fernandez Albano
C13248363;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ongolmo/3550011;Casa;3;1;1;80;Cerrillos, Ongolmo
C13248364;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/los-jazmines-274/3615388;Casa;5;2;2;83;Cerrillos, Los Jazmines 274
C13248366;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos/3726822;Casa;4;2;1;120;Cerrillos, Cerrillos
C13248367;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072666;Casa;3;1;2;216;NA
C13248368;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/julio-verne/3658196;Casa;5;3;3;140;Cerrillos, Julio Verne
C13248369;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/cerrillos-region-metropolitana/3072610;Casa;3;1;2;89;NA
C13248372;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/ing-juan-ceron-reyes/3112489;Casa;3;2;No;82;Cerrillos, Ing juan cer<f3>n reyes
C13248373;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/padre-tomas-roggia-2641/2554992;Casa;3;2;3;80;Cerrillos, Padre tomas Roggia 2641
C13248374;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/casa-2-pisos-en-condominio-altos-de-don-orione/3441484;Casa;3;2;No;85;Cerrillos, Casa 2 Pisos en Condominio Altos de Don Orione
C13248375;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/caupolican-7195/2991725;Casa;9;8;3;218;Cerrillos, Caupolic<e1>n 7195
C13248376;Cerrillos;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerrillos/casa/catorce-de-octubre/3710696;Casa;2;1;3;85;Cerrillos, Catorce de Octubre
C13248377;Cerro Navia;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/huelen-1581/3608211;Casa;4;2;1;198;Cerro Navia, Huelen 1581
C13248378;Cerro Navia;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/presidente-prieto/2009884;Casa;4;3;3;120;Cerro Navia, Presidente Prieto
C13248379;Cerro Navia;https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/doctor-avendano/3639993;Casa;2;1;1;65;Cerro Navia, Doctor Avenda<f1>o
C13248380;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/caletera-san-martincarretera-san-martin/1151912;Casa;3;3;No;230;Colina, Caletera San Martin/Carretera San Martin
C13248381;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/general-san-martin/3505258;Casa;5;5;No;310;Colina, General San Martin
C13248382;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chicureoalba-2/3417275;Casa;4;3;No;260;Colina, Av. Chicureo/Alba 2
C13248383;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/av-chamisero-portezuelo-iii-calle-el-tranque-oriente-colina/3309727;Casa;5;5;No;460;Colina, Av Chamisero Portezuelo III calle el tranque Oriente colina
C13248384;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/las-brisas-de-chicureo/3676096;Casa;5;5;No;640;Colina, Las Brisas de Chicureo
C13248385;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/colina-region-metropolitana/3377283;Casa;4;3;2;150;NA
C13248386;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/haya-austral-772/3611470;Casa;3;3;2;90;Colina, Haya Austral 772
C13248387;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/altos-de-la-reserva/3472948;Casa;5;7;5;468;Colina, Altos de la Reserva
C13248388;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/avda-chicureocaletera-general-san-martin/1406465;Casa;3;2;No;190;Colina, Avda Chicureo/Caletera General San Martin
C13248389;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/cerro-santa-isabel/3339617;Casa;8;5;No;365;Colina, Cerro Santa Isabel
C13248390;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-guay-guayav-chicureo/1460501;Casa;5;4;No;360;Colina, Camino Guay Guay/Av. Chicureo
C13248391;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/camino-santa-elena/3506079;Casa;4;3;No;235;Colina, Camino santa Elena
C13248392;Colina;https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/el-algarroboavenida-chicureo/1550179;Casa;5;4;No;230;Colina, El Algarrobo/Avenida Chicureo
