"App","Rating","Reviews","Type","Content Rating","Genres"
"""Alphabet """"H"""" Passcode Lock Screen""",4.5,2,"Free","Everyone","Personalization"
"""Eat Fast Prepare """"Without Internet""""""",4.6,4925,"Free","Everyone","Food & Drink"
"""Official QR Code<U+00AE> Reader """"Q""""""",4.4,3031,"Free","Everyone","Productivity"
"#<U+00BF>NOMBRE?",3.5,115,"Free","Mature 17+","Comics"
".R",4.5,259,"Free","Everyone","Tools"
"/u/app",4.7,573,"Free","Mature 17+","Communication"
"[adult swim]",3.6,21433,"Free","Mature 17+","Entertainment"
"[BN] Blitz",3.2,4,"Free","Everyone","Sports"
"[root] Pry-Fi",3.9,6736,"Free","Everyone","Tools"
"[ROOT] X Privacy Installer",4.2,12147,"Free","Everyone","Tools"
"[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme",4,13,"Paid","Everyone","Personalization"
"[Substratum] K-Manager for K-Klock",4.5,14,"Free","Everyone","Personalization"
"[Substratum] M5 Theme",4.4,16,"Free","Everyone","Personalization"
"[substratum] Vacuum: P",4.4,230,"Paid","Everyone","Personalization"
"[verify-U] VideoIdent",2.9,83,"Free","Everyone","Communication"
"+Download 4 Instagram Twitter",4.5,40467,"Free","Everyone","Social"
"<c9>galit<e9> et R<e9>conciliation",4.9,58,"Paid","Everyone","News & Magazines"
"<d6>BB Scotty",4.2,12572,"Free","Everyone","Maps & Navigation"
"<U+0001F48E> I'm rich",3.8,718,"Paid","Everyone","Lifestyle"
"<U+0001F4CF> Smart Ruler <U+2194><U+FE0F> cm/inch measuring for homework!",4,19,"Free","Everyone","Tools"
"<U+0001F525> Football Wallpapers 4K | Full HD Backgrounds <U+0001F60D>",4.7,11661,"Free","Everyone","Entertainment"
"<U+008A>melina .cz inzer<e1>ty inzerce",3.9,117,"Free","Everyone","Shopping"
"<U+00A1>Ay Metro!",3.8,489,"Free","Everyone 10+","Arcade"
"<U+00BF>Es Vegan?",4.6,438,"Free","Everyone","Food & Drink"
"<U+0410>im Training for CS",3.6,2328,"Free","Everyone","Action"
"<U+0420><U+0418><U+0410> <U+041D><U+043E><U+0432><U+043E><U+0441><U+0442><U+0438>",4.5,44274,"Free","Everyone","News & Magazines"
"<U+0420><U+0435><U+0435>I Smart Remote MP3 CD Player",3.2,27,"Free","Everyone","Tools"
