"months_loan_duration","credit_status","purpose","amount","employment_length","personal_status","residence_history","age","housing","existing_credits"
6,"critical","radio/tv",1169,"> 7 yrs","single male",4,67,"own",2
48,"repaid","radio/tv",5951,"1 - 4 yrs","female",2,22,"own",1
12,"critical","education",2096,"4 - 7 yrs","single male",3,49,"own",1
42,"repaid","furniture",7882,"4 - 7 yrs","single male",4,45,"for free",1
24,"delayed","car (new)",4870,"1 - 4 yrs","single male",4,53,"for free",2
36,"repaid","education",9055,"1 - 4 yrs","single male",4,35,"for free",1
24,"repaid","furniture",2835,"> 7 yrs","single male",4,53,"own",1
36,"repaid","car (used)",6948,"1 - 4 yrs","single male",2,35,"rent",1
12,"repaid","radio/tv",3059,"4 - 7 yrs","divorced male",4,61,"own",1
30,"critical","car (new)",5234,"unemployed","married male",2,28,"own",2
12,"repaid","car (new)",1295,"0 - 1 yrs","female",1,25,"rent",1
48,"repaid","business",4308,"0 - 1 yrs","female",4,24,"rent",1
12,"repaid","radio/tv",1567,"1 - 4 yrs","female",1,22,"own",1
24,"critical","car (new)",1199,"> 7 yrs","single male",4,60,"own",2
15,"repaid","car (new)",1403,"1 - 4 yrs","female",4,28,"rent",1
24,"repaid","radio/tv",1282,"1 - 4 yrs","female",2,32,"own",1
24,"critical","radio/tv",2424,"> 7 yrs","single male",4,53,"own",2
30,"fully repaid","business",8072,"0 - 1 yrs","single male",3,25,"own",3
24,"repaid","car (used)",12579,"> 7 yrs","female",2,44,"for free",1
24,"repaid","radio/tv",3430,"> 7 yrs","single male",2,31,"own",1
9,"critical","car (new)",2134,"1 - 4 yrs","single male",4,48,"own",3
6,"repaid","radio/tv",2647,"1 - 4 yrs","single male",3,44,"rent",1
10,"critical","car (new)",2241,"0 - 1 yrs","single male",3,48,"rent",2
12,"critical","car (used)",1804,"0 - 1 yrs","single male",4,44,"own",1
10,"critical","furniture",2069,"1 - 4 yrs","married male",1,26,"own",2
6,"repaid","furniture",1374,"1 - 4 yrs","single male",2,36,"own",1
6,"fully repaid","radio/tv",426,"> 7 yrs","married male",4,39,"own",1
12,"fully repaid","radio/tv",409,"1 - 4 yrs","female",3,42,"rent",2
7,"repaid","radio/tv",2415,"1 - 4 yrs","single male",2,34,"own",1
60,"delayed","business",6836,"> 7 yrs","single male",4,63,"own",2
18,"repaid","business",1913,"0 - 1 yrs","married male",3,36,"own",1
24,"repaid","furniture",4020,"1 - 4 yrs","single male",2,27,"own",1
18,"repaid","car (new)",5866,"1 - 4 yrs","single male",2,30,"own",2
12,"critical","business",1264,"> 7 yrs","single male",4,57,"rent",1
12,"repaid","furniture",1474,"0 - 1 yrs","female",1,33,"own",1
